MBTI,EI,SN,FT,JP,KW
ESTJ,E,S,T,J,"미니멀,내추럴,내추럴,모던,미니멀"
ISFP,I,S,F,P,"미니멀,로맨틱,빈티지,개성,개성"
INFP,I,N,F,P,"빈티지,내추럴,빈티지,로맨틱,로맨틱"
INFJ,I,N,F,J,"미니멀,빈티지,개성,로맨틱,미니멀"
ISFJ,I,S,F,J,"미니멀,모던,미니멀,로맨틱,내추럴"
ISTJ,I,S,T,J,"내추럴,내추럴,미니멀,미니멀,로맨틱"
ESFJ,E,S,F,J,"미니멀, 모던, 로맨틱, 내추럴, 모던"
ENTJ,E,N,T,J,"미니멀, 실용적, 로맨틱, 실용적, 미니멀"
ESFP,E,S,F,P,"로맨틱, 로맨틱, 모던, 미니멀, 로맨틱 "
ENFP,E,N,F,P,"개성, 미니멀, 캐주얼, 모던, 개성"
ENFJ,E,N,F,J,"내추럴, 모던, 로맨틱, 로맨틱, 캐주얼"
ENTP,E,N,T,P,"개성, 캐주얼, 캐주얼, 개성, 개성"
INTP,I,N,T,P,"실용적, 미니멀, 개성, 모던, 미니멀"
INTJ,I,N,T,J,"미니멀, 모던, 실용적, 빈티지, 캐주얼"
ISTP,I,S,T,P,"미니멀, 미니멀, 로맨틱, 빈티지, 실용적"
ESTP,E,S,T,P,"미니멀, 미니멀, 로맨틱, 캐주얼, 개성"
