,minimal,modern,natural,romantic,casual,vintage,individuality,useful
ENFP,0.8151410843384956,1.0236025123080879,0.531114511103253,0.8122017942591881,0.7980892274623892,0.6389091139326377,0.0,0.6016309587105098
ENTJ,1.115966960701512,0.5822645129940982,0.5712783901074171,0.5002947396032887,0.7360702334076334,0.22873856958478195,0.19056860081083726,1.3329397984790716
INFP,0.5637433358229157,0.6099695188927519,0.6404679948373894,0.9625041749255401,0.6931471805599453,1.7173414545553205,0.9325279860012899,0.6238324625039507
INTJ,1.2795031403851098,0.9914137540594058,0.3604365338911716,0.1662406943243474,0.8851908518387552,0.7646341529130044,0.5822436316703541,1.569201964623248
INTJ,1.2795031403851098,0.9914137540594058,0.3604365338911716,0.2841903440295776,0.5039599025307854,0.4824304376697219,0.46141716124060617,1.221443894282984
ISFP,1.0397207708399179,0.6515583497263486,0.740341439719686,1.2213108461823348,0.5311145111032531,1.310051412592135,1.024577522683998,0.4512232190328823
ISFP,0.939572226371526,0.6515583497263486,0.5053616527873305,0.5628355106146756,0.13380348567569425,0.7980892274623892,0.0,0.32958368660043297
ISFJ,1.2064365307081961,1.2617993233483347,0.7140979876342713,0.6888299049949049,0.3327106466687737,0.6371951274275036,0.2932130341997297,0.5633032693519351
ISTJ,0.9048170809470554,0.6515583497263487,0.0,0.0,0.13380348567569425,0.3396421184743732,0.0,0.6591673732008658
ENFJ,0.6768348285493235,1.3969921079927992,1.0813096016735146,1.0433251361788296,0.8844558023944902,0.6317125066460352,0.7069163764848488,0.6768348285493235
INTP,0.8294522779444229,0.46141716124060617,0.36254205526047617,0.29112181583517704,0.8179136730607356,0.4644086109751634,0.558676627531316,1.455609079175885
INTP,0.8294522779444229,0.29112181583517704,0.45747713916956384,0.5822436316703541,0.6481812503141848,0.613914790355684,0.8854815046664966,1.153542903101515
INTP,1.0466522426455174,0.5822436316703541,0.531114511103253,0.6759639232223221,0.8179136730607356,1.0077318558401038,0.558676627531316,1.5792812666150875
ISTP,1.4517129970155584,0.6115864067249582,0.3188477030575748,0.2477391810540885,0.17029534540542907,0.637738349384412,0.0,0.7579215959396978
ISTP,1.2504375137301413,0.6115864067249582,0.6376954061151496,0.6712521083762152,0.46141716124060617,0.7646341529130045,0.2108418562162455,0.909966825049646
ISTP,1.4517129970155584,0.6115864067249582,0.740341439719686,0.9833665644972355,0.3848421073871452,0.964860875339444,0.47647118057456067,0.838708088477534
ESTJ,1.2275636567716632,1.0815422771557155,1.0925699210804352,0.5887985951928231,0.45814536593707755,0.26366694928034634,0.0,0.8272425682269509
ESTJ,0.9728211816156114,0.7382674579849698,0.6893348710668656,0.3257791748631743,0.6931471805599453,0.26366694928034634,0.5129289136143595,0.6890196326724525
